"collocation","count","count_nested","length","lambda","z"
"notre dame",37,0,2,17.2082077484789,10.4855315646393
"los angeles",27,0,2,16.8980696289741,10.2780683871132
"ruth bader",24,0,2,16.7825617844369,10.1994147239761
"las vega",20,0,2,16.6043202764372,10.0762814500733
"puerto rico",27,0,2,16.0507684068497,10.5331259334741
"hong kong",66,0,2,15.9351798776527,10.9435459141144
"magic wand",36,0,2,15.5717327591514,10.5934266125216
"mazie hirono",24,0,2,15.4832720768548,10.3855273736863
"saudi arabia",50,0,2,15.1078978128449,10.4744107692478
"witch hunt",30,0,2,14.7328998723825,10.1624234536802
"substantive procedural",56,0,2,14.2058148506374,21.0079636504271
"martin luther",23,0,2,14.032805269223,9.71366999905399
"bader ginsburg",24,0,2,14.0309894918505,9.72086633178255
"procedural enforceable",56,0,2,13.9375475020964,21.4789607100629
"kim jong",43,0,2,13.6268136787206,9.54304012713659
"san diego",27,0,2,13.5079732680694,9.41410821640604
"van hollen",23,0,2,13.4699913305832,9.36710870884734
"guadalupe guillén",20,0,2,13.4401955376668,9.3259362576958
"luther king",23,0,2,12.890627181497,8.98844215677989
"anti semitism",41,0,2,12.8825044146901,9.03714757931818
"budgetary administrative",54,0,2,12.8370479784986,19.1932416184856
"indo pacific",25,0,2,12.8272930482011,8.95572191075874
"convalescent plasma",22,0,2,12.765539682907,14.7371486753944
"construe impair",55,0,2,12.6467107609853,27.2324039972379
"pacific islander",21,0,2,12.6087541754745,8.78875622329482
"fossil fuel",26,0,2,12.508410555336,8.74410216712975
"arab emirate",36,0,2,12.3689577403661,22.6429232607873
"cory booker",43,0,2,12.3261461280049,26.6011150482451
"ronald reagan",59,0,2,12.3242451548814,28.3853130917143
"anti semitic",20,0,2,12.0225162037126,8.38542753294408
"nicolás maduro",30,0,2,11.8366730446276,14.038811459612
"malicious cyber",31,0,2,11.7920602801339,22.0608598298211
"coney barrett",29,0,2,11.7771000065517,20.0335931127367
"prime minister",279,0,2,11.6484566991705,46.2153678545689
"juan guaidó",40,0,2,11.6095050828528,28.858667705488
"amy coney",30,0,2,11.5853905571184,17.3166548062151
"walter reed",21,0,2,11.4833214053478,24.0135714187755
"asylum seeker",24,0,2,11.4433165237513,16.9309100773915
"neil armstrong",20,0,2,11.431908834858,24.2249735996318
"warp speed",79,0,2,11.3514013092357,26.8961587801912
"san francisco",23,0,2,11.3187978837459,19.1627337858641
"blue collar",47,0,2,11.3024078290487,22.3305061066794
"intellectual property",42,0,2,11.2026927928573,19.8224147894398
"availability appropriation",58,0,2,11.1059988948985,34.2588721520945
"pete gaynor",41,0,2,11.0982137214675,29.4698887169505
"9 circuit",21,0,2,11.0111601125494,22.9037263186205
"elizabeth warren",40,0,2,10.9733600183895,30.582451150407
"sexual orientation",21,0,2,10.9649124567997,23.7168627346199
"relate budgetary",54,0,2,10.9374269017777,16.8230542157207
"golan height",33,0,2,10.9180842993628,26.4004721938989
