"component","covariate","estimate","std.error","statistic","p.value","p.adj","conf.low","conf.high","odds.ratio","or.low","or.high","covariate_label","component_label","significant"
"comp1","year2020",-0.367154255914767,0.787892747422399,-0.465995222212562,0.641218920447244,0.986647183283612,-1.91139566454298,1.17708715271345,0.692702783301076,0.147873860204685,3.24490850058878,"Year = 2020 (vs 2019)","Topic 1",FALSE
"comp1","year2021",-0.598350549679676,0.795686886913117,-0.751992472819289,0.452055585428456,0.986647183283612,-2.15786819100018,0.961167091640827,0.549717620605792,0.115571234409139,2.61474634193747,"Year = 2021 (vs 2019)","Topic 1",FALSE
"comp1","partydemocratic",0.186505363761815,0.761160787730881,0.245027551035323,0.806435098834302,0.986647183283612,-1.30534236663485,1.67835309415848,1.20503108556808,0.271079710508232,5.35672667815284,"Party = Democratic (vs Republican)","Topic 1",FALSE
"comp1","candidate_typevice_president",-0.0130781942329303,0.781438281979224,-0.0167360552132228,0.986647183283612,0.986647183283612,-1.54466908305306,1.5185126945872,0.987006953751116,0.213382471416841,4.5654299544127,"Candidate = VP (vs President)","Topic 1",FALSE
"comp2","year2020",-0.370587998122484,0.733714547874538,-0.505084707937198,0.613499341466234,0.986647183283612,-1.80864208688967,1.0674660906447,0.690328299532267,0.163876515852171,2.90800154407113,"Year = 2020 (vs 2019)","Topic 2",FALSE
"comp2","year2021",-0.687984885703729,0.74097273568146,-0.928488799349684,0.353154075178924,0.986647183283612,-2.14026476116551,0.764294989758049,0.502587821229255,0.117623696711762,2.14747984555319,"Year = 2021 (vs 2019)","Topic 2",FALSE
"comp2","partydemocratic",-0.123694817542393,0.708820769142561,-0.174507891031498,0.861466329772152,0.986647183283612,-1.51295799655579,1.26556836147101,0.883649474055156,0.220257492506053,3.54510706588788,"Party = Democratic (vs Republican)","Topic 2",FALSE
"comp2","candidate_typevice_president",0.392611856509643,0.727703913546574,0.539521430627176,0.589527113737371,0.986647183283612,-1.03366160545049,1.81888531846978,1.48084349800233,0.355702132277514,6.16498262615112,"Candidate = VP (vs President)","Topic 2",FALSE
"comp3","year2020",-0.351510421163149,0.808754242022358,-0.434631935016709,0.663829610937859,0.986647183283612,-1.93663960787096,1.23361876554466,0.7036245173379,0.144187663678456,3.43363259219635,"Year = 2020 (vs 2019)","Topic 3",FALSE
"comp3","year2021",-0.718834350284659,0.816754751478314,-0.88011039909297,0.378799506184968,0.986647183283612,-2.31964424738412,0.881975546814799,0.487319969401798,0.0983085529089989,2.41566725936448,"Year = 2021 (vs 2019)","Topic 3",FALSE
"comp3","partydemocratic",0.202881045269468,0.781314484683792,0.259666304985471,0.795121185993152,0.986647183283612,-1.32846720531024,1.73422929584917,1.22492674874934,0.264882961489625,5.66456042081213,"Party = Democratic (vs Republican)","Topic 3",FALSE
"comp3","candidate_typevice_president",-0.0271135680325675,0.802128877943006,-0.0338020095998763,0.973035033433849,0.986647183283612,-1.59925727976038,1.54503014369525,0.973250705079981,0.202046526325094,4.68811294193994,"Candidate = VP (vs President)","Topic 3",FALSE
"comp4","year2020",-0.154862221258441,0.676404999943879,-0.228948959974112,0.818908586478687,0.986647183283612,-1.48059166011126,1.17086721759438,0.85653318141805,0.227503044079536,3.22478801916003,"Year = 2020 (vs 2019)","Topic 4",FALSE
"comp4","year2021",-0.895453997863063,0.683096259558882,-1.31087527611601,0.189899905079556,0.986647183283612,-2.2342980645725,0.443390068846371,0.408422133767748,0.107067257783916,1.557979935267,"Year = 2021 (vs 2019)","Topic 4",FALSE
"comp4","partydemocratic",1.42576683191669,0.653455643889015,2.1818877000301,0.0291178218401772,0.582356436803545,0.14501730439979,2.70651635943359,4.16104744364248,1.156059575012,14.9770100109796,"Party = Democratic (vs Republican)","Topic 4",FALSE
"comp4","candidate_typevice_president",0.399826277364926,0.67086384892807,0.595987215593421,0.551183767313347,0.986647183283612,-0.91504270506401,1.71469525979386,1.49156555643373,0.400499522367875,5.5549824279089,"Candidate = VP (vs President)","Topic 4",FALSE
"comp5","year2020",0.0201913365767426,0.807448991630729,0.0250063307850123,0.980049913952569,0.986647183283612,-1.56237960637267,1.60276227952616,1.02039656053456,0.209636624545507,4.9667329981491,"Year = 2020 (vs 2019)","Topic 5",FALSE
"comp5","year2021",-0.721235862303492,0.815436589045477,-0.884478170335411,0.376438141437654,0.986647183283612,-2.31946220850881,0.876990483901831,0.486151068764506,0.0983264505163836,2.40365497198021,"Year = 2021 (vs 2019)","Topic 5",FALSE
"comp5","partydemocratic",-0.187329736794817,0.78005351938169,-0.240149851440071,0.81021408887786,0.986647183283612,-1.71620654079665,1.34154706720701,0.829170283352528,0.179746718079746,3.82495639497511,"Party = Democratic (vs Republican)","Topic 5",FALSE
"comp5","candidate_typevice_president",-0.321448305819174,0.800834320242197,-0.401391770674811,0.688131707233322,0.986647183283612,-1.8910547310775,1.24815811943915,0.725098112411562,0.150912552705617,3.48392007952061,"Candidate = VP (vs President)","Topic 5",FALSE
