"Covariate","Topic","Estimate","SE","95% CI","p-adj BH"
"Democratic vs Republican","Topic 1",0.187,0.761,"[-1.31,  1.68]","0.99"
"Democratic vs Republican","Topic 2",-0.124,0.709,"[-1.51,  1.27]","0.99"
"Democratic vs Republican","Topic 3",0.203,0.781,"[-1.33,  1.73]","0.99"
"Democratic vs Republican","Topic 4",1.426,0.653,"[ 0.15,  2.71]","0.58"
"Democratic vs Republican","Topic 5",-0.187,0.78,"[-1.72,  1.34]","0.99"
"VP vs President","Topic 1",-0.013,0.781,"[-1.54,  1.52]","0.99"
"VP vs President","Topic 2",0.393,0.728,"[-1.03,  1.82]","0.99"
"VP vs President","Topic 3",-0.027,0.802,"[-1.60,  1.55]","0.99"
"VP vs President","Topic 4",0.4,0.671,"[-0.92,  1.71]","0.99"
"VP vs President","Topic 5",-0.321,0.801,"[-1.89,  1.25]","0.99"
"Year 2020 vs 2019","Topic 1",-0.367,0.788,"[-1.91,  1.18]","0.99"
"Year 2020 vs 2019","Topic 2",-0.371,0.734,"[-1.81,  1.07]","0.99"
"Year 2020 vs 2019","Topic 3",-0.352,0.809,"[-1.94,  1.23]","0.99"
"Year 2020 vs 2019","Topic 4",-0.155,0.676,"[-1.48,  1.17]","0.99"
"Year 2020 vs 2019","Topic 5",0.02,0.807,"[-1.56,  1.60]","0.99"
"Year 2021 vs 2019","Topic 1",-0.598,0.796,"[-2.16,  0.96]","0.99"
"Year 2021 vs 2019","Topic 2",-0.688,0.741,"[-2.14,  0.76]","0.99"
"Year 2021 vs 2019","Topic 3",-0.719,0.817,"[-2.32,  0.88]","0.99"
"Year 2021 vs 2019","Topic 4",-0.895,0.683,"[-2.23,  0.44]","0.99"
"Year 2021 vs 2019","Topic 5",-0.721,0.815,"[-2.32,  0.88]","0.99"
