"Topic_1","Topic_2","Topic_3","Topic_4","Topic_5","Topic_6"
"nation","america","job","health","time","order"
"america","family","time","senator","job","agency"
"world","space","america","act","happen","law"
"freedom","man","million","care","big","section"
"stand","nation","world","community","talk","secretary"
"time","life","business","family","china","federal"
"life","honor","family","school","win","include"
"faith","force","community","include","million","policy"
"god","woman","build","child","vote","executive"
"honor","time","economy","worker","call","department"
"strong","stand","big","covid","test","sec"
"venezuela","law","worker","administration","give","national"
